user_id,name,review_count,gijun,review_scale
08mOpJRCpZe3D8UHszP4FA,Ann,3061,name,31
whINg-cC-FiAv_ATDGMDTg,PatrickJ,3057,name,31
g3HFkZgloxLQCvoJ5Zs5gg,Jana,3044,name,30
P3usQcIegPCl-cdH4IDirg,Sean,3038,name,30
EiwxlbR8fb68lMgEXhcWKA,Lorrie,3023,name,30
2HchhLgGj16aITZGVy0hqA,Yi,2977,name,30
PkNs-Rw6MHQfu6j5pBZMMw,Maria,2963,name,30
jpIGlAym6z88W2xzHiK5_A,Denise,2962,name,30
ITa3vh5ERI90G_WP4SmGUQ,Peter,2939,name,29
lLfcbYGTeVxQN5Ig0ompJg,Elena,2848,name,28
2l0O1EI1m0yWjFo2zSt71w,Shiho,2839,name,28
W7DHyQlY_kXls2iXt-_2Ag,Maggie,2830,name,28
UsXqCXRZwSCSw0AT7y1uBg,Candice,2816,name,28
5hfKGSTC6gkamIfl6BZm6A,Matze,2815,name,28
5MCBLBxr10NLUKZ4AboAMg,Colleen,2770,name,28
ZYZNcugF3xUEGyLOVGiZ0Q,Carol,2759,name,28
re3AdczLFP4D7xwI6DkBNA,Vicky,2750,name,28
nnwBdqGHIAJQ5QX9lHOtrQ,Hank,2743,name,27
w-w-k-QXosIKQ8HQVwU6IQ,Anthony,2741,name,27
NeXRy1C7PxS7bvIcQ3SymA,Shannon,2700,name,27
DICLJDdq0HpvOVYR5mB4gA,Eric,2685,name,27
a4mO387_O77ebmv8AlQB3A,Dave,2678,name,27
3UIa8YVjETNwJwnOl4SEdg,Vic,2665,name,27
Wk3Ezdn1ChOPZYp7rkko8g,Carmen,2661,name,27
QnIrewrXxFnssw_gG1gF-Q,Sarah,2638,name,26
ZIOCmdFaMIF56FR-nWr_2A,Randy,2622,name,26
om5ZiponkpRqUNa3pVPiRg,Andrea,2619,name,26
3XzhO2aJdvVtYhKOCJsPrg,Charley,2617,name,26
taPq7IxYskEWH7Vfc261pQ,Danielle,2615,name,26
AbMjnKOwg736fcIu8apuyQ,Michael,2609,name,26
B7ecAeAIrXg7sgmabS38pg,Stephy,2606,name,26
82dCHyU-ANOgdhxUgZsUeg,Marlon,2589,name,26
1P9BpFZ_d3PGCdytDTYJCw,Solomon,2581,name,26
1xJwMqmvVXPwY7yEVQIc-A,Jacob,2555,name,26
3mNz5nQFTIBQm0oU5mBR0w,Michelangelo,2554,name,26
Um5bfs5DH6eizgjH3xZsvg,Dianna,2553,name,26
5gbkhlWANGVzQYi_0m3vOQ,Jess,2541,name,25
iCYMf_sHRevmzWg8la-LVw,Denise,2523,name,25
eSlOI3GhroEtcbaD_nFXJQ,Jason,2518,name,25
kw4Q3Qfj_8WxjTNExSi1hw,Lili,2517,name,25
5BpJEC8YVi80ecWT5CtlfQ,Jenny,2513,name,25
kKTcYPz47sCDH1_ylnE4ZQ,Pegah,2506,name,25
UE-rXhA8njNnADFkDA3EuA,Inigo,2474,name,25
0QeJC2inz6P-OVzROU_LNw,Tram,2467,name,25
76vIFZcC7owykCBjMfGVXg,Amy,2443,name,24
UXbCcmkYGl3DH_Py5UOtbQ,Toni,2441,name,24
Rx7DNBmPPShVjlcQidGuTw,Helen,2440,name,24
tgrs5VQ6thhouiEtMU-N_w,Edward,2433,name,24
#NAME?,Gerald,2429,name,24
PLOYtrCMUFPHQe2IbYAd5g,Joanna,2429,name,24
PKEzKWv_FktMm2mGPjwd0Q,Norm,2421,name,24
UVUIi0q38pAvsfuEEppe0Q,Stephen,2419,name,24
NOUfyJW-BAo_-Cbfo8edww,Lolia,2415,name,24
iLjMdZi0Tm7DQxX1C1_2dg,Ruggy,2411,name,24
62GNFh5FySkA3MbrQmnqvg,Chad,2410,name,24
zUKeZNu4tCG56xjwWH54Vw,Bill,2396,name,24
37HswRimgBEf7_US-c3CDA,Adrienne,2395,name,24
sOzeK0dE0BYx4Mc8dmoenQ,Janet,2393,name,24
1O638BDK_fWuxgTVJwff-A,Rob,2388,name,24
0Igx-a1wAstiBDerGxXk2A,Jen,2382,name,24
WWWujmZ95y0a2RR5_kQ9sw,Curt,2375,name,24
6s-g2vFu12OemhiK3FJuOQ,Dave,2363,name,24
uWhC9eof98zPkvsalgaqJw,Madelyn,2358,name,24
Pf7FI0OukC_CEcCz0ZxoUw,Don,2344,name,23
DK57YibC5ShBmqQl97CKog,Karen,2340,name,23
5yGgNgkkNvsv6dYiA_whFw,Yonnie,2335,name,23
I9vkjKs1O5Ctf5gy0ry4yg,Brenda,2333,name,23
s3kRi7b8t2sdtYcsMbqlJA,Jboogie,2331,name,23
9akppeqi5dnaIqPyJ75aCw,Mimi,2330,name,23
8ZryN_S-n48g6rsa3W3QtQ,Dani,2327,name,23
M9puGD3VU5FuhE60HklCvg,Ruth,2326,name,23
cVrM2BvOvPV0Vi_rC8kepQ,Dan,2321,name,23
IyIsFkVY48JWa01inv-7zA,Rob,2318,name,23
Z88N6qly3Dp5C06XbZ9IMQ,Janice,2310,name,23
OapLWhQI4_Gm32-nYbHmUA,Yee Gan,2298,name,23
